Car Name,Auction Rating,Model Year,Mileage,Fuel Type,Engine Capacity,Transmission,Engine Unit,Price (PKR)
Suzuki Mehran  2017 VXR Euro II for Sale,2.5,2017,25510,Petrol,796.0,Manual,cc,1150000.0
Toyota Hilux  2007  for Sale,5.4,2007,333642,Diesel,3000.0,Manual,cc,4250000.0
Toyota Vitz  2008 F 1.0 for Sale,8.3,2008,91000,Petrol,1000.0,Automatic,cc,1945000.0
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,8.3,2018,112000,Petrol,1800.0,Automatic,cc,5495000.0
Toyota Corolla  2021 Altis X Automatic 1.6 for Sale,8.6,2021,74171,Petrol,1600.0,Automatic,cc,5750000.0
Hyundai Tucson  2022 FWD A/T GLS Sport for Sale,9.0,2022,64092,Petrol,2000.0,Automatic,cc,7000000.0
Honda City 5th (GM2) Generation 2018 Aspire Prosmatec 1.5 i-VTEC for Sale,7.0,2018,93916,Petrol,1500.0,Automatic,cc,4000000.0
Honda Civic Rebirth (FB) 2013 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,7.8,2013,90914,Petrol,1800.0,Automatic,cc,3550000.0
DFSK Glory 580  2022 Pro for Sale,8.7,2022,27150,Petrol,1500.0,Automatic,cc,4500000.0
JAC T9  2025 Hunter for Sale,8.3,2025,22700,Diesel,2000.0,Automatic,cc,9650000.0
Toyota Harrier  2014 Hybrid Premium Advanced Package for Sale,8.3,2014,99000,Hybrid,2500.0,Automatic,cc,3725000.0
Honda Civic Reborn (FD) 2009 VTi Prosmatec 1.8 i-VTEC for Sale,6.6,2009,85369,Petrol,1800.0,Automatic,cc,2390000.0
Toyota Corolla 9th (E120) Generation 2004 XLi for Sale,8.3,2004,200000,Petrol,1300.0,Manual,cc,2420000.0
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,8.3,2021,59000,Petrol,1800.0,Automatic,cc,6525000.0
Honda HR-V  2025  for Sale,8.3,2025,18000,Petrol,1500.0,Automatic,cc,9550000.0
Honda City 5th (GM2) Generation 2019 Aspire Prosmatec 1.5 i-VTEC for Sale,8.3,2019,83000,Petrol,1500.0,Automatic,cc,3900000.0
Toyota Corolla  2009 Altis SR 1.8 for Sale,8.3,2009,225000,Petrol,1800.0,Manual,cc,2650000.0
Suzuki Alto  2023 VX for Sale,8.3,2023,76000,Petrol,1000.0,Manual,cc,2600000.0
Suzuki Wagon R  2016 VXL for Sale,8.3,2016,95000,Petrol,1000.0,Manual,cc,2200000.0
Honda Insight  2010  for Sale,8.3,2010,19999,Hybrid,1300.0,Automatic,cc,3150000.0
KIA Picanto  2023 1.0 AT for Sale,8.3,2023,3500,Petrol,1000.0,Automatic,cc,4000000.0
Toyota Vitz  2004 FL 1.0 for Sale,8.3,2004,145000,Petrol,1000.0,Automatic,cc,228000.0
Toyota Land Cruiser 6th (J100) Generation 2005 VX Limited 4.2D for Sale,8.3,2005,140000,Diesel,4200.0,Automatic,cc,11200000.0
Toyota Sprinter  1998  for Sale,8.3,1998,179000,Petrol,1500.0,Automatic,cc,2350000.0
Toyota Camry 4th (XV40) Generation 2009 Up-Spec Automatic 2.4 for Sale,8.3,2009,147625,Petrol,2400.0,Automatic,cc,4350000.0
KIA Sportage  2021 AWD for Sale,8.3,2021,57000,Petrol,2000.0,Automatic,cc,6850000.0
Toyota Coaster  2024  for Sale,8.3,2024,45000,Diesel,2800.0,Automatic,cc,3000000.0
Honda Civic Rebirth (FB) 2010 VTi Prosmatec 1.8 i-VTEC for Sale,8.3,2010,7500,Petrol,1800.0,Automatic,cc,2150000.0
Toyota Vitz  2004 FL 1.0 for Sale,8.3,2004,96000,Petrol,1000.0,Automatic,cc,1500000.0
Honda City  2000 EXi for Sale,8.3,2000,253000,Petrol,1300.0,Manual,cc,1425000.0
Suzuki Mehran  2018 VX Euro II for Sale,8.3,2018,67000,Petrol,796.0,Manual,cc,1325000.0
Audi A6 4th (C7) Generation 2017 1.8 TFSI Business Class Edition for Sale,8.3,2017,30500,Petrol,1800.0,Automatic,cc,13500000.0
Audi e-tron GT  2022 RS for Sale,8.3,2022,58000,Electric,93.4,Automatic,kWh,33500000.0
Toyota Yaris Sedan  2021 GLI CVT 1.3 for Sale,8.3,2021,87500,Petrol,1300.0,Automatic,cc,4400000.0
Honda Civic Reborn (FD) 2006 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,8.3,2006,92000,Petrol,1800.0,Automatic,cc,2425000.0
Hyundai Sonata  2024 2.5 for Sale,8.3,2024,32000,Petrol,2500.0,Automatic,cc,3725000.0
Honda Civic  2019 1.8 i-VTEC CVT for Sale,5.7,2019,79395,Petrol,1800.0,Automatic,cc,5450000.0
Toyota Vitz  2005 RS 1.3 for Sale,4.4,2005,70971,Petrol,1300.0,Automatic,cc,2125000.0
Toyota Vitz  2017 Hybrid F 1.5 for Sale,8.3,2017,100000,Hybrid,1500.0,Automatic,cc,3700000.0
MG ZS  2021 1.5L for Sale,9.1,2021,51256,Petrol,1490.0,Automatic,cc,5100000.0
Honda Civic Rebirth (FB) 2013 Oriel Prosmatec UG for Sale,8.3,2013,135000,Petrol,1800.0,Automatic,cc,3495000.0
Suzuki Swift  2013 DLX 1.3 for Sale,8.3,2013,201301,Petrol,1300.0,Manual,cc,2500000.0
Honda Civic  2020 1.8 i-VTEC CVT for Sale,7.9,2020,66480,Petrol,1800.0,Automatic,cc,5800000.0
MG HS  2021 Trophy for Sale,8.3,2021,59000,Petrol,1500.0,Automatic,cc,6090000.0
GUGO GIGI  2009  for Sale,8.3,2009,200000,Petrol,1300.0,Manual,cc,280000.0
Toyota Corolla  2012 Altis SR Cruisetronic 1.6 for Sale,8.3,2012,146000,Petrol,1600.0,Automatic,cc,3650000.0
Toyota Corolla  2016 Altis Grande CVT-i 1.8 for Sale,8.3,2016,139000,Petrol,1800.0,Automatic,cc,4520000.0
Suzuki Mehran  2018 VX Euro II for Sale,8.3,2018,66000,Petrol,796.0,Manual,cc,1450000.0
Suzuki Mehran  2006 VXR for Sale,8.3,2006,95000,Petrol,800.0,Manual,cc,680000.0
Toyota Corolla  2012 XLi VVTi for Sale,8.3,2012,125080,Petrol,1300.0,Manual,cc,2600000.0
Suzuki Swift  2017 DLX 1.3 for Sale,8.3,2017,59000,Petrol,1300.0,Manual,cc,2000000.0
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC for Sale,8.3,2018,130000,Petrol,1300.0,Manual,cc,3650000.0
Honda Civic 7th Generation (Facelift) 2005 VTi Oriel Prosmatec 1.6 for Sale,8.3,2005,174000,Petrol,1600.0,Automatic,cc,1490000.0
Honda City 5th (GM2) Generation 2020 1.3 i-VTEC for Sale,8.3,2020,100,Petrol,1300.0,Manual,cc,3450000.0
Honda Life  2016  for Sale,8.3,2016,100000,Petrol,660.0,Automatic,cc,1690000.0
Suzuki Alto  2023 VXL AGS for Sale,8.3,2023,37500,Petrol,660.0,Automatic,cc,2975000.0
Toyota Pixis Epoch  2021 L for Sale,6.7,2021,28341,Petrol,660.0,Automatic,cc,3000000.0
Honda City 5th (GM2) Generation 2013 Aspire Prosmatec 1.5 i-VTEC for Sale,5.5,2013,129107,Petrol,1500.0,Automatic,cc,3000000.0
Suzuki Cultus  2014 EURO II for Sale,6.9,2014,28741,Petrol,1000.0,Manual,cc,1550000.0
Toyota Raize  2021 G for Sale,8.3,2021,37495,Petrol,1000.0,Automatic,cc,5400000.0
Range Rover Sport  2016 SVR for Sale,8.3,2016,15000,Petrol,4999.0,Automatic,cc,64500000.0
Toyota Fj Cruiser  2010 Automatic for Sale,8.3,2010,66000,Petrol,4000.0,Automatic,cc,16500000.0
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,8.3,2019,70000,Petrol,1800.0,Automatic,cc,5680000.0
Suzuki Mehran  2009 VXR for Sale,4.9,2009,52523,Petrol,800.0,Manual,cc,975000.0
KIA Sorento  2021 2.4 FWD for Sale,8.3,2021,62000,Petrol,2400.0,Automatic,cc,6150000.0
Lexus LX Series  2020 LX570 for Sale,8.3,2020,11000,Petrol,5700.0,Automatic,cc,79500000.0
Toyota Prado 3rd (J120) Generation 2002 RZ 3.4 (3-Door) for Sale,5.9,2002,146930,Petrol,3400.0,Automatic,cc,6500000.0
Toyota Corolla  2014 GLi Automatic 1.3 VVTi for Sale,6.9,2014,143286,Petrol,1300.0,Automatic,cc,3490000.0
Daihatsu Cuore  2005  for Sale,8.3,2005,120000,Petrol,800.0,Manual,cc,630000.0
Haval H6  2024 HEV for Sale,8.3,2024,79000,Hybrid,1500.0,Automatic,cc,10000000.0
Honda Civic 11th (FE) Generation 2025 RS for Sale,8.3,2025,26000,Petrol,1500.0,Automatic,cc,9350000.0
Toyota Prius  2010 S 1.5 for Sale,8.3,2010,225000,Hybrid,1497.0,Automatic,cc,3275000.0
Suzuki Wagon R  2018 VXL for Sale,8.3,2018,235000,Petrol,1000.0,Manual,cc,2190000.0
Toyota Prado  2000  for Sale,8.3,2000,300000,Petrol,1300.0,Manual,cc,350000.0
Honda City  2006 VTEC Steermatic for Sale,8.3,2006,194000,Petrol,1500.0,Automatic,cc,2050000.0
Toyota Corolla  2012 GLi 1.3 VVTi for Sale,8.3,2012,400421,Petrol,1300.0,Manual,cc,2900000.0
Toyota Premio  2009 F 1.5 for Sale,8.3,2009,160000,Petrol,1500.0,Automatic,cc,4000000.0
Toyota Pixis Epoch  2012 D for Sale,8.3,2012,130000,Petrol,660.0,Automatic,cc,2160000.0
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,8.3,2017,78000,Petrol,1800.0,Automatic,cc,4290000.0
Daihatsu Charade  1986  for Sale,8.3,1986,240000,Petrol,1000.0,Manual,cc,525000.0
Honda Civic Reborn (FD) 2010 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,8.3,2010,190000,Petrol,1800.0,Automatic,cc,2900000.0
Honda City 5th (GM2) Generation 2015 1.3 i-VTEC for Sale,7.3,2015,133167,Petrol,1300.0,Manual,cc,3300000.0
KIA Stonic  2025 EX+ for Sale,9.4,2025,53869,Petrol,1400.0,Automatic,cc,5400000.0
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,8.3,2017,76000,Petrol,1800.0,Automatic,cc,4875000.0
Honda City 5th (GM2) Generation 2021 1.3 i-VTEC for Sale,7.8,2021,83026,Petrol,1300.0,Manual,cc,3800000.0
Haval H6  2026 PHEV for Sale,8.3,2026,3000,PHEV,1500.0,Automatic,cc,13600000.0
MG HS  2021 Trophy for Sale,8.3,2021,73000,Petrol,1500.0,Automatic,cc,6250000.0
KIA Sportage  2023 Alpha for Sale,9.3,2023,20248,Petrol,2000.0,Automatic,cc,6400000.0
